id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
215,中佳早10号,Z99-312×嘉兴99-25,籼型常规稻,中国水稻研究所,浙审稻2006020,,,,,,,,,,,,,,,,,,,,,,,,
216,嘉65,嘉48×嘉37/嘉51,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2006019,,,,,,,,,,,,,,,,,,,,,,,,
217,浙糯4号,武运P17×丙9302,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2006018,,,,,,,,,,,,,,,,,,,,,,,,
218,湖251,嘉48×丙1067,粳型常规稻,浙江省湖州市农业科学院等,浙审稻2006016,,,,,,,,,,,,,,,,,,,,,,,,
219,秀水223,264×229/宁1//209,粳型常规稻,嘉兴市农业科学研究院,浙审稻2006015,,,,,,,,,,,,,,,,,,,,,,,,
220,春江026,春江08×春江06,粳型常规稻,中国水稻研究所,浙审稻2006014,,,,,,,,,,,,,,,,,,,,,,,,
221,浙粳22,浙粳27×浙粳27////DP5165///DP5165//...,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2006013,,,,,,,,,,,,,,,,,,,,,,,,
222,秀水113,嘉粳2717×秀水110,粳型常规稻,嘉兴市农业科学研究院,浙审稻2006012,,,,,,,,,,,,,,,,,,,,,,,,
223,八优52,8204A×Z052,粳型三系杂交稻,浙江省杭州市农业科学研究院等,浙审稻2006011,,,,,,,,,,,,,,,,,,,,,,,,
224,春优2号,春江12A×CH89,粳型三系杂交稻,中国水稻研究所等,浙审稻2006010,,,,,,,,,,,,,,,,,,,,,,,,
225,秀优5号,秀水110A×秀恢69,粳型三系杂交稻,嘉兴市农业科学研究院等,浙审稻2006009,,,,,,,,,,,,,,,,,,,,,,,,
226,甬优1460,甬粳2号A×T1460,粳型三系杂交稻,浙江省台州市农业科学研究院等,浙审稻2006008,,,,,,,,,,,,,,,,,,,,,,,,
227,中组14,五丰占2号/IRBB5×五丰占2号,籼型常规稻,中国水稻研究所,浙审稻2006007,,,,,,,,,,,,,,,,,,,,,,,,
228,Ⅱ优845,Ⅱ-32A×温恢845,籼型三系杂交稻,浙江省温州市农业科学研究院,浙审稻2006006,,,,,,,,,,,,,,,,,,,,,,,,
229,菲优E1,菲改A×E1,籼型三系杂交稻,中国水稻研究所等,浙审稻2006005,,,,,,,,,,,,,,,,,,,,,,,,
230,内香优3号,内香3A×内恢99-14,籼型三系杂交稻,四川内江杂交水稻科技开发中心,浙审稻2006004,,,,,,,,,,,,,,,,,,,,,,,,
231,冈优827,G2480A×蜀恢527,籼型三系杂交稻,四川农业大学水稻研究所,浙审稻2006003,,,,,,,,,,,,,,,,,,,,,,,,
232,中浙优8号,中浙A×T-8,籼型三系杂交稻,中国水稻研究所等,浙审稻2006002,,,,,,,,,,,,,,,,,,,,,,,,
233,培两优2859,培矮64S×JG2859,籼型两系杂交稻,浙江省杭州市种子公司等,浙审稻2006001,,,,,,,,,,,,,,,,,,,,,,,,
234,中佳早6号,Z99-312×WT4,籼型常规稻,中国水稻研究所,浙审稻2005028,,,,,,,,,,,,,,,,,,,,,,,,
235,浙辐201,Z95-210×Lemont,籼型常规稻,浙江大学核农所等,浙审稻2005027,,,,,,,,,,,,,,,,,,,,,,,,
236,浙101,浙9248,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2005026,,,,,,,,,,,,,,,,,,,,,,,,
237,嘉育21,G96-29×YD95-1,籼型常规稻,嘉兴市农业科学研究院,浙审稻2005025,,,,,,,,,,,,,,,,,,,,,,,,
238,嘉育253,G96-28-1×G96-143,籼型常规稻,嘉兴市农业科学研究院,浙审稻2005024,,,,,,,,,,,,,,,,,,,,,,,,
239,甬优5号,甬糯2号A×K6926,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2005023,,,,,,,,,,,,,,,,,,,,,,,,
240,祥湖914,秀水42×丙9302,粳型常规稻,嘉兴市农业科学研究院,浙审稻2005022,,,,,,,,,,,,,,,,,,,,,,,,
241,甬糯34,甬粳24/台93-26×嘉63,粳型常规稻,宁波市农业科学研究院作物研究所,浙审稻2005021,,,,,,,,,,,,,,,,,,,,,,,,
